Date,Start,Finish
22/04/17,19:00:00,19:40:00
22/04/17,21:45:00,22:15:00
23/04/17,03:10:00,03:40:00
23/04/17,06:00:00,06:20:00
23/04/17,08:05:00,08:20:00
23/04/17,09:45:00,10:15:00
23/04/17,11:10:00,11:30:00
23/04/17,13:10:00,13:30:00
23/04/17,16:05:00,16:50:00
23/04/17,18:00:00,18:15:00
23/04/17,19:00:00,19:40:00
23/04/17,21:00:00,21:20:00
24/04/17,02:55:00,03:35:00
24/04/17,06:00:00,06:30:00
24/04/17,07:20:00,07:40:00
24/04/17,10:45:00,11:00:00
24/04/17,12:30:00,13:00:00
24/04/17,15:35:00,16:00:00
24/04/17,18:00:00,18:30:00
24/04/17,19:15:00,19:35:00
24/04/17,20:15:00,20:35:00
24/04/17,21:00:00,21:35:00
25/04/17,03:35:00,03:55:00
25/04/17,06:40:00,07:00:00
25/04/17,09:10:00,09:30:00
25/04/17,11:30:00,11:45:00
25/04/17,12:20:00,12:50:00
25/04/17,15:00:00,15:20:00
25/04/17,17:20:00,17:50:00
25/04/17,18:55:00,19:15:00
25/04/17,19:40:00,20:00:00
25/04/17,20:25:00,21:20:00
25/04/17,23:10:00,23:20:00
26/04/17,04:20:00,04:45:00
26/04/17,07:45:00,08:15:00
26/04/17,11:10:00,11:20:00
26/04/17,12:30:00,12:45:00
26/04/17,15:00:00,15:15:00
26/04/17,16:00:00,16:20:00
26/04/17,18:30:00,19:00:00
26/04/17,19:55:00,20:05:00
26/04/17,21:10:00,21:50:00
